id,creation_time,property1,property2,property3,property4,property5,failed,failed_reason,time_of_death,details,type,fingerprint_hash,recruiter_id,worker_id,assignment_id,unique_id,hit_id,mode,end_time,base_pay,bonus,entry_information,status
32,2021-11-04 14:28:35.329345,,,,,,f,,,{},participant,b1855a985bd3c7d7931c01010c7fbf63,mturk,32,3O7L7BFSHGDILUV5ESX9IT1TDTOIEQ,32:3O7L7BFSHGDILUV5ESX9IT1TDTOIEQ,3H4IKZHALC6C6HLFE57IP4VSEYFNN0,live,2021-11-04 14:31:05.747882,1.2,1.35,{},approved
23,2021-11-04 14:27:54.96543,,,,,,f,,,{},participant,eb1807a5ded70d030c9c7107d20d780d,mturk,23,3QHK8ZVMIO6M4SRRP4SW91N0R05LB7,23:3QHK8ZVMIO6M4SRRP4SW91N0R05LB7,3H4IKZHALC6C6HLFE57IP4VSEYFNN0,live,2021-11-04 14:31:30.35838,1.2,1.45,{},approved
25,2021-11-04 14:27:56.837534,,,,,,f,,,{},participant,4179f9eb647a4424bc75ab6cb3d625f4,mturk,25,35BLDD71I8LLIV619MA5ISS591TZVA,25:35BLDD71I8LLIV619MA5ISS591TZVA,3H4IKZHALC6C6HLFE57IP4VSEYFNN0,live,2021-11-04 14:31:57.173902,1.2,1.35,{},approved
16,2021-11-04 14:27:44.33253,,,,,,f,,,{},participant,876e70155fae447dbbc41f8fbe188f0f,mturk,16,3WLEIWSYHQ5QUJ85FQKNGGRPGDK2HG,16:3WLEIWSYHQ5QUJ85FQKNGGRPGDK2HG,3H4IKZHALC6C6HLFE57IP4VSEYFNN0,live,2021-11-04 14:31:30.275315,1.2,1.2,{},approved
22,2021-11-04 14:27:54.54276,,,,,,f,,,{},participant,725d6a48bf0f0af87afc57f4202a2e59,mturk,22,3HOSI13XH1CWLD1JQJLELE3VLCFDDQ,22:3HOSI13XH1CWLD1JQJLELE3VLCFDDQ,3H4IKZHALC6C6HLFE57IP4VSEYFNN0,live,2021-11-04 14:31:30.254301,1.2,1.35,{},approved
14,2021-11-04 14:27:39.989706,,,,,,f,,,{},participant,8bec4b1eef7a4a5036d3f5a1f95ab492,mturk,14,3URFVVM1676L5GH14W00M6QMVUKUZG,14:3URFVVM1676L5GH14W00M6QMVUKUZG,3H4IKZHALC6C6HLFE57IP4VSEYFNN0,live,2021-11-04 14:31:57.328622,1.2,1.25,{},approved
5,2021-11-04 14:27:20.544481,,,,,,f,,,{},participant,2fa27626f4139d7a2471884a7ba82381,mturk,5,33LK57MYLVT5Q3PXFR50758YAXZZS5,5:33LK57MYLVT5Q3PXFR50758YAXZZS5,3H4IKZHALC6C6HLFE57IP4VSEYFNN0,live,2021-11-04 14:32:06.156605,1.2,1.4,{},approved
43,2021-11-04 14:29:39.786149,,,,,,f,,,{},participant,0c6a5b6d108887bb230373123a27528b,mturk,43,3KRVW3HTZP95RWQE02F6Z3CPVTHSMH,43:3KRVW3HTZP95RWQE02F6Z3CPVTHSMH,3H4IKZHALC6C6HLFE57IP4VSEYFNN0,live,2021-11-04 14:32:24.150167,1.2,0,{},did_not_attend
31,2021-11-04 14:28:29.489291,,,,,,f,,,{},participant,027323bc819f184454415457fb400051,mturk,31,3IUZPWIU1QV38P7KZVCRHFN6C1IKWJ,31:3IUZPWIU1QV38P7KZVCRHFN6C1IKWJ,3H4IKZHALC6C6HLFE57IP4VSEYFNN0,live,2021-11-04 14:32:24.354008,1.2,1.25,{},approved
21,2021-11-04 14:27:54.51122,,,,,,f,,,{},participant,fbafca6b97af2cd605bead6845f41a70,mturk,21,3FE7TXL1LKB37C78YG7HPUJQ70FQ2Z,21:3FE7TXL1LKB37C78YG7HPUJQ70FQ2Z,3H4IKZHALC6C6HLFE57IP4VSEYFNN0,live,2021-11-04 14:32:24.154964,1.2,1.35,{},approved
27,2021-11-04 14:28:13.211731,,,,,,f,,,{},participant,806594da5960c9c4154c3d227f97a9b3,mturk,27,3YOH7BII0BVQT07F9L7VVD4S5SGKV9,27:3YOH7BII0BVQT07F9L7VVD4S5SGKV9,3H4IKZHALC6C6HLFE57IP4VSEYFNN0,live,2021-11-04 14:28:42.560345,,,{},returned
19,2021-11-04 14:27:49.244631,,,,,,f,,,{},participant,78df4c9f143cce2520902ae29e78aa0b,mturk,19,3JPSL1DZ5UN79IPKV38FRI7JEDKNAG,19:3JPSL1DZ5UN79IPKV38FRI7JEDKNAG,3H4IKZHALC6C6HLFE57IP4VSEYFNN0,live,2021-11-04 14:33:13.94805,1.2,1.15,{},approved
267,2021-11-04 15:33:54.474814,,,,,,f,,,{},participant,394948ea58a976dcc407427ef9a502b2,mturk,267,38F5OAUN5P0XGK5BL21IC78XRUE7HB,267:38F5OAUN5P0XGK5BL21IC78XRUE7HB,3H4IKZHALC6C6HLFE57IP4VSEYFNN0,live,2021-11-04 15:37:58.898774,1.2,1.3,{},approved
11,2021-11-04 14:27:31.276542,,,,,,f,,,{},participant,1369aeaad76c4c799d6ec3d26c73b23a,mturk,11,3XCC1ODXDNZKBWOTD6MIQ2RYJSVRQF,11:3XCC1ODXDNZKBWOTD6MIQ2RYJSVRQF,3H4IKZHALC6C6HLFE57IP4VSEYFNN0,live,2021-11-04 14:30:01.920719,1.2,1.35,{},approved
45,2021-11-04 14:29:47.498062,,,,,,f,,,{},participant,62567b51d4a6997ae1c81ffe1d386a7a,mturk,45,3RYC5T2D75HZBKNEDT7TQX1OEW9RPO,45:3RYC5T2D75HZBKNEDT7TQX1OEW9RPO,3H4IKZHALC6C6HLFE57IP4VSEYFNN0,live,2021-11-04 14:57:21.39043,,,{},abandoned
248,2021-11-04 15:29:14.54151,,,,,,f,,,{},participant,530e897fd5024e674015c81d101a74e4,mturk,248,3RYC5T2D75HZBKNEDT7TQX1OEWGPRT,248:3RYC5T2D75HZBKNEDT7TQX1OEWGPRT,3H4IKZHALC6C6HLFE57IP4VSEYFNN0,live,2021-11-04 15:36:42.885147,1.2,1.05,{},approved
543,2021-11-04 16:51:01.012931,,,,,,f,,,{},participant,f02a75bb1410fb60a4f48caabeb61428,mturk,543,3NAPMVF0ZY3T1U2T2HYBP32V2B5722,543:3NAPMVF0ZY3T1U2T2HYBP32V2B5722,3H4IKZHALC6C6HLFE57IP4VSEYFNN0,live,2021-11-04 16:55:36.224639,1.2,1.35,{},approved
161,2021-11-04 15:15:31.043254,,,,,,f,,,{},participant,a7655c58285da4eb8da18956b8cee3ff,mturk,161,3PJ71Z61R6QQQS8QYAWHYGJW5U491M,161:3PJ71Z61R6QQQS8QYAWHYGJW5U491M,3H4IKZHALC6C6HLFE57IP4VSEYFNN0,live,2021-11-04 15:20:39.818945,1.2,1.4,{},approved
34,2021-11-04 14:28:45.800918,,,,,,f,,,{},participant,434ba4bbf769dbba4992444e122315bc,mturk,34,3OCHAWUVGQ8IXPCA908DJY1DL3OKXC,34:3OCHAWUVGQ8IXPCA908DJY1DL3OKXC,3H4IKZHALC6C6HLFE57IP4VSEYFNN0,live,2021-11-04 14:31:30.283793,1.2,1.2,{},approved
156,2021-11-04 15:14:54.3665,,,,,,f,,,{},participant,60533fbf2b26f57ba78463400029a38a,mturk,156,3LKC68YZ3CRMYGSZXN4KOW4FW6YOWD,156:3LKC68YZ3CRMYGSZXN4KOW4FW6YOWD,3H4IKZHALC6C6HLFE57IP4VSEYFNN0,live,2021-11-04 15:21:05.469116,1.2,1.45,{},approved
143,2021-11-04 15:06:34.461541,,,,,,f,,,{},participant,04a927862323be305b3ee69d4793e66e,mturk,143,3S06PH7KSTS2TIL7AQ1JKC2MWFCD10,143:3S06PH7KSTS2TIL7AQ1JKC2MWFCD10,3H4IKZHALC6C6HLFE57IP4VSEYFNN0,live,2021-11-04 15:10:06.731465,1.2,1.25,{},approved
146,2021-11-04 15:07:54.810877,,,,,,f,,,{},participant,fd472b415bfbb9a2246ed010f8cec818,mturk,146,3R6P78PK7MZ6EM77EZM1W3OE1QOGTR,146:3R6P78PK7MZ6EM77EZM1W3OE1QOGTR,3H4IKZHALC6C6HLFE57IP4VSEYFNN0,live,2021-11-04 15:11:06.617143,1.2,1.25,{},approved
70,2021-11-04 14:34:53.831565,,,,,,f,,,{},participant,6c1d6b810e0df507130bfd9b50fa4bd3,mturk,70,30IQTZXKAMUGKZ5657YV0EM475IX0J,70:30IQTZXKAMUGKZ5657YV0EM475IX0J,3H4IKZHALC6C6HLFE57IP4VSEYFNN0,live,2021-11-04 14:37:51.254572,1.2,1.3,{},approved
99,2021-11-04 14:43:47.437753,,,,,,f,,,{},participant,b712b3e51d699beb6388e285031749a9,mturk,99,386CSBG1O1ARPDQ9LIJKF702N5HQ6G,99:386CSBG1O1ARPDQ9LIJKF702N5HQ6G,3H4IKZHALC6C6HLFE57IP4VSEYFNN0,live,2021-11-04 14:52:12.381835,1.2,1.1,{},approved
92,2021-11-04 14:40:18.764053,,,,,,f,,,{},participant,98e8460edeafb6f295c65626dc8002d6,mturk,92,3OE22WJIGKCCROGAH0HNVDEIQRZUQM,92:3OE22WJIGKCCROGAH0HNVDEIQRZUQM,3H4IKZHALC6C6HLFE57IP4VSEYFNN0,live,2021-11-04 14:45:45.663734,1.2,1.25,{},approved
117,2021-11-04 14:56:59.339722,,,,,,f,,,{},participant,307015395da88bca6bb1b13c2a1d774f,mturk,117,30JNVC0ORB87M2AQH1AOCYPSWJXQHH,117:30JNVC0ORB87M2AQH1AOCYPSWJXQHH,3H4IKZHALC6C6HLFE57IP4VSEYFNN0,live,2021-11-04 14:59:54.262688,1.2,1.25,{},approved
76,2021-11-04 14:35:43.035191,,,,,,f,,,{},participant,67b06cb2273ff82bfc0b2c56d96f0bba,mturk,76,373ERPL3YQWX3CGLUAGDV72L3ZURTT,76:373ERPL3YQWX3CGLUAGDV72L3ZURTT,3H4IKZHALC6C6HLFE57IP4VSEYFNN0,live,2021-11-04 14:38:13.287069,1.2,1.45,{},approved
141,2021-11-04 15:05:04.801799,,,,,,f,,,{},participant,b3b2f7877d1c2cb3a0a36b8bb1fc89c0,mturk,141,3DPNQGW4LN3K083BNLC7C4ZXRD464J,141:3DPNQGW4LN3K083BNLC7C4ZXRD464J,3H4IKZHALC6C6HLFE57IP4VSEYFNN0,live,2021-11-04 15:12:00.178354,1.2,1.35,{},approved
