,condition,condition_replication,net_decision_index,chose_utility
198,ASO:W-U,9,8,4
199,ASO:W-U,9,9,5
200,SOC:N-U,0,0,1
201,SOC:N-U,0,1,3
202,SOC:N-U,0,2,6
203,SOC:N-U,0,3,3
204,SOC:N-U,0,4,4
205,SOC:N-U,0,5,1
206,SOC:N-U,0,6,5
207,SOC:N-U,0,7,4
208,SOC:N-U,0,8,3
209,SOC:N-U,0,9,3
210,SOC:N-U,1,0,7
211,SOC:N-U,1,1,2
212,SOC:N-U,1,2,2
213,SOC:N-U,1,3,7
214,SOC:N-U,1,4,6
215,SOC:N-U,1,5,2
216,SOC:N-U,1,6,2
217,SOC:N-U,1,7,6
218,SOC:N-U,1,8,2
219,SOC:N-U,1,9,2
220,SOC:N-U,2,0,6
221,SOC:N-U,2,1,0
222,SOC:N-U,2,2,1
223,SOC:N-U,2,3,8
224,SOC:N-U,2,4,7
225,SOC:N-U,2,5,2
226,SOC:N-U,2,6,0
227,SOC:N-U,2,7,5
228,SOC:N-U,2,8,7
229,SOC:N-U,2,9,3
230,SOC:N-U,3,0,7
231,SOC:N-U,3,1,0
232,SOC:N-U,3,2,5
233,SOC:N-U,3,3,6
234,SOC:N-U,3,4,5
235,SOC:N-U,3,5,4
236,SOC:N-U,3,6,1
237,SOC:N-U,3,7,0
238,SOC:N-U,3,8,7
239,SOC:N-U,3,9,1
240,SOC:N-U,4,0,7
241,SOC:N-U,4,1,5
242,SOC:N-U,4,2,3
243,SOC:N-U,4,3,6
244,SOC:N-U,4,4,4
245,SOC:N-U,4,5,2
246,SOC:N-U,4,6,2
247,SOC:N-U,4,7,7
248,SOC:N-U,4,8,8
249,SOC:N-U,4,9,1
250,SOC:N-U,5,0,7
251,SOC:N-U,5,1,1
252,SOC:N-U,5,2,3
253,SOC:N-U,5,3,3
254,SOC:N-U,5,4,4
255,SOC:N-U,5,5,3
256,SOC:N-U,5,6,4
257,SOC:N-U,5,7,4
258,SOC:N-U,5,8,5
259,SOC:N-U,5,9,5
260,SOC:N-U,6,0,3
261,SOC:N-U,6,1,4
262,SOC:N-U,6,2,1
263,SOC:N-U,6,3,6
264,SOC:N-U,6,4,6
265,SOC:N-U,6,5,6
266,SOC:N-U,6,6,2
267,SOC:N-U,6,7,5
268,SOC:N-U,6,8,6
269,SOC:N-U,6,9,1
270,SOC:N-U,7,0,2
271,SOC:N-U,7,1,3
272,SOC:N-U,7,2,0
273,SOC:N-U,7,3,5
274,SOC:N-U,7,4,4
275,SOC:N-U,7,5,6
276,SOC:N-U,7,6,3
277,SOC:N-U,7,7,7
278,SOC:N-U,7,8,4
279,SOC:N-U,7,9,3
280,SOC:N-U,8,0,7
281,SOC:N-U,8,1,1
282,SOC:N-U,8,2,2
283,SOC:N-U,8,3,6
284,SOC:N-U,8,4,5
285,SOC:N-U,8,5,2
286,SOC:N-U,8,6,4
